Cobertura;Sitio;Trampa;Abundancia;Especies
BQ;Las Vegas;1;;
BQ;Las Vegas;2;;
BQ;Las Vegas;3;;
BQ;Las Vegas;4;;
PA;Las Vegas;1;;
PA;Las Vegas;2;;
PA;Las Vegas;3;;
PA;Las Vegas;4;;
SA;Las Vegas;1;;
SA;Las Vegas;2;;
SA;Las Vegas;3;;
SA;Las Vegas;4;;
SA;El Horizonte;1;;
SA;El Horizonte;2;;
SA;El Horizonte;3;;
SA;El Horizonte;4;;
PA;El Triunfante;1;;
PA;El Triunfante;2;;
PA;El Triunfante;3;;
PA;El Triunfante;4;;
BQ;Las Palmas;1;;
BQ;Las Palmas;2;;
BQ;Las Palmas;3;;
BQ;Las Palmas;4;;
SA;Las Palmas;1;;
SA;Las Palmas;2;;
SA;Las Palmas;3;;
SA;Las Palmas;4;;
BQ;Santa Elena;1;;
BQ;Santa Elena;2;;
BQ;Santa Elena;3;;
BQ;Santa Elena;4;;
SA;Santa Elena;1;;
SA;Santa Elena;2;;
SA;Santa Elena;3;;
SA;Santa Elena;4;;
BQ;Santa Rita;1;;
BQ;Santa Rita;2;;
BQ;Santa Rita;3;;
BQ;Santa Rita;4;;
PA;Santa Rita;1;;
PA;Santa Rita;2;;
PA;Santa Rita;3;;
PA;Santa Rita;4;;
SA;Santa Rita;1;;
SA;Santa Rita;2;;
SA;Santa Rita;3;;
SA;Santa Rita;4;;
PA;Villa Nueva;1;;
PA;Villa Nueva;2;;
PA;Villa Nueva;3;;
PA;Villa Nueva;4;;
