Cobertura;Group;Locality;Site;Abundance;Species
SF;Bees;Las Vegas;1;1.25;0.75
SF;Bees;Las Vegas;2;1.5;1
SF;Bees;Las Vegas;3;2.75;0.75
SF;Bees;Las Vegas;4;0.25;0.25
SF;Bees;Las Palmas;1;0.75;0.75
SF;Bees;Las Palmas;2;1.25;0.75
SF;Bees;Las Palmas;3;0.75;0.5
SF;Bees;Las Palmas;4;0.75;0.5
SF;Bees;Santa Elena;1;0.75;0.25
SF;Bees;Santa Elena;2;1;0.75
SF;Bees;Santa Elena;3;0.75;0.75
SF;Bees;Santa Elena;4;2.25;0.75
SF;Bees;Santa Rita;1;0.5;0.25
SF;Bees;Santa Rita;2;0.5;0.5
SF;Bees;Santa Rita;3;1.75;1.25
SF;Bees;Santa Rita;4;1.75;1.5
SF;Butterflies;Las Vegas;1;2.25;1.75
SF;Butterflies;Las Vegas;2;1.75;1.75
SF;Butterflies;Las Vegas;3;1.5;1.25
SF;Butterflies;Las Vegas;4;1.75;1.5
SF;Butterflies;Las Palmas;1;0.25;0.25
SF;Butterflies;Las Palmas;2;0.75;0.75
SF;Butterflies;Las Palmas;3;0.25;0.25
SF;Butterflies;Las Palmas;4;0;0
SF;Butterflies;Santa Elena;1;2.75;2.25
SF;Butterflies;Santa Elena;2;1;1
SF;Butterflies;Santa Elena;3;1.25;0.5
SF;Butterflies;Santa Elena;4;0;0
SF;Butterflies;Santa Rita;1;1.25;1.25
SF;Butterflies;Santa Rita;2;1;1
SF;Butterflies;Santa Rita;3;1.25;1.25
SF;Butterflies;Santa Rita;4;1;1
PA;Bees;Las Vegas;1;1.5;1.5
PA;Bees;Las Vegas;2;0.5;0.5
PA;Bees;Las Vegas;3;1.5;1.5
PA;Bees;Las Vegas;4;3;1
PA;Bees;Las Palmas;1;0.5;0.5
PA;Bees;Las Palmas;2;0;0
PA;Bees;Las Palmas;3;0;0
PA;Bees;Las Palmas;4;0;0
PA;Bees;Santa Rita;1;1.25;1
PA;Bees;Santa Rita;2;4.25;1.25
PA;Bees;Santa Rita;3;2;0.25
PA;Bees;Santa Rita;4;4;1
PA;Bees;Santa Elena;1;0.75;0.5
PA;Bees;Santa Elena;2;0.5;0.25
PA;Bees;Santa Elena;3;0;0
PA;Bees;Santa Elena;4;0;0
PA;Butterflies;Las Vegas;1;0.75;0.5
PA;Butterflies;Las Vegas;2;2;1.5
PA;Butterflies;Las Vegas;3;1.25;0.75
PA;Butterflies;Las Vegas;4;4;2
PA;Butterflies;Las Palmas;1;2.25;2
PA;Butterflies;Las Palmas;2;2.25;1.25
PA;Butterflies;Las Palmas;3;2.5;2.25
PA;Butterflies;Las Palmas;4;1.75;1.5
PA;Butterflies;Santa Rita;1;0.75;0.75
PA;Butterflies;Santa Rita;2;0.5;0.25
PA;Butterflies;Santa Rita;3;1.5;0.25
PA;Butterflies;Santa Rita;4;1.25;1.25
PA;Butterflies;Santa Elena;1;0.75;0.75
PA;Butterflies;Santa Elena;2;1.25;1.25
PA;Butterflies;Santa Elena;3;0.25;0.25
PA;Butterflies;Santa Elena;4;1.25;1.25
CAF;Bees;Las Vegas;1;3;2.25
CAF;Bees;Las Vegas;2;1;0.75
CAF;Bees;Las Vegas;3;3.5;2
CAF;Bees;Las Vegas;4;1.75;1.25
CAF;Bees;Las Palmas;1;1.5;1
CAF;Bees;Las Palmas;2;2.75;1.5
CAF;Bees;Las Palmas;3;0.75;0.75
CAF;Bees;Las Palmas;4;2.25;1.75
CAF;Bees;Santa Elena;1;1.5;0.75
CAF;Bees;Santa Elena;2;1.75;1.5
CAF;Bees;Santa Elena;3;1.25;1
CAF;Bees;Santa Elena;4;2.5;1.5
CAF;Bees;Santa Rita;1;2.25;1
CAF;Bees;Santa Rita;2;1.5;1
CAF;Bees;Santa Rita;3;2.25;1.5
CAF;Bees;Santa Rita;4;1.5;1
CAF;Butterflies;Las Vegas;1;1;1
CAF;Butterflies;Las Vegas;2;2.5;1.5
CAF;Butterflies;Las Vegas;3;1.25;1
CAF;Butterflies;Las Vegas;4;2.25;2.25
CAF;Butterflies;Las Palmas;1;0.75;0.75
CAF;Butterflies;Las Palmas;2;0.75;0.75
CAF;Butterflies;Las Palmas;3;0.5;0.5
CAF;Butterflies;Las Palmas;4;1;0.75
CAF;Butterflies;Santa Elena;1;1.25;0.5
CAF;Butterflies;Santa Elena;2;4.75;3
CAF;Butterflies;Santa Elena;3;1.5;1.5
CAF;Butterflies;Santa Elena;4;0.5;0.5
CAF;Butterflies;Santa Rita;1;1.25;1.25
CAF;Butterflies;Santa Rita;2;1;1
CAF;Butterflies;Santa Rita;3;1;1
CAF;Butterflies;Santa Rita;4;1.75;1.25
