Cobertura;Eulaema_meriana;Euglossa_despecta;Euglossa_liopoda;Euglossa_aff._iopyrrha;Eulaema_flavescens;Euglossa_crassipunctata;Bombus_sp.;Euglossa_aff._modestior;Euglossa_ignita;Euglossa_allosticta;Exomalopsis_sp.;Euglossa_orellana;Apis_mellifera;Colletidae_sp._01;Eulaema_aff._speciosa;Euglossa_ioprosopa;Megachilidae_sp._01;Trigona_sp.;Eulaema_nigrita;Trigona_amalthea;Lestrimelitta_guyanensis;Euglossa_sp._01
PA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
PA;0;3;10;3;1;0;1;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0
PA;0;0;2;1;30;4;0;2;0;1;0;0;0;0;0;0;0;2;0;0;4;0
PA;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAF;0;5;6;3;1;6;0;0;0;2;0;1;0;0;0;0;0;0;0;2;2;1
SAF;0;1;4;3;6;4;0;3;0;0;0;1;2;1;1;4;2;5;0;0;0;0
SAF;4;0;0;7;1;2;0;1;1;3;0;0;0;5;1;3;0;0;0;0;0;0
SAF;0;6;3;4;5;8;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0
BQ;5;2;5;4;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BQ;0;1;0;3;1;2;0;0;1;5;0;0;0;0;0;0;0;0;0;1;0;0
BQ;1;0;1;0;13;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0
BQ;0;2;0;3;3;1;0;1;1;1;0;0;0;0;0;0;0;1;4;1;0;0
