Especie;FO;PA;CAF
Abananote_hylonome;0;0;1
Achlyodes_busirus;0;0;1
Actinote_pellenea;0;0;1
Actinote_thalia;0;1;0
Altinote_neleus;1;0;0
Anartia_amathea;0;1;1
Apaustus_gracilis;0;0;1
Arawacus_togarna;0;0;1
Archaeoprepona_demophoon;1;0;0
Autochton_zarex;0;1;0
Battus_polydamas;0;1;0
Calephelis;1;1;1
Callimormus_saturnus;0;0;1
Calycopis;0;1;0
Catonephele_numilia;1;0;0
Ceratinia_tutia;0;0;1
Charis_anius;0;1;1
Cissia_palladia;0;0;1
Colobura_dirce;1;0;1
Danaus_gilippus_subsp._xanthippus;0;1;0
Danaus_plexippus;1;1;0
Detritivora_hermodora;1;1;0
Dismorphia_crisia_subsp._foedora;1;0;0
Dryas_iulia;1;0;0
Emesis_tenedia;0;0;1
Eresia_clio;0;1;1
Erichthodes_antonina;1;0;0
Eueides_isabella;0;1;1
Euphyes_peneia;0;1;0
Eurema_albula;1;1;1
Eurema_arbela_subsp._gratiosa;0;1;0
Eurema_phiale_subsp._columbia;1;1;1
Eurema_xantochlora;0;1;0
Eutychide_subpunctata;0;1;0
Gorgythion_begga;0;1;1
Hades_noctula;0;0;1
Hamadryas_feronia;0;1;0
Heliconius_cydno;1;0;0
Heliconius_erato;1;0;1
Heliconius_melpomene;0;0;1
Heliconius_sara;1;1;0
Heliopetes_arsalte;1;1;0
Hemiargus_ceraunus;1;1;1
Hemiargus_hanno;0;1;0
Hemiargus_huntingtoni;0;1;0
Heraclides_thoas_subsp._nealces;0;1;0
Hermeuptychia_hermes;1;1;1
Hermiargus_ceraunus;0;1;0
Historis_odius;0;0;1
Hylephila_phyleus;1;1;1
Ithomia_iphianassa;0;0;1
Ithomia_lichyi;1;1;0
Junonia_genoveva;0;1;0
Magneuptychia_libye;1;0;1
Marpesia_petreus;0;1;0
Mechanitis_menapis;0;1;1
Megeuptychia_antonoe;0;0;1
Oressinoma_typhla;1;0;1
Pareuptychia_metaleuca;1;1;1
Pareuptychia_ocirrhoe;1;1;1
Parides_iphidamas_subsp._elatos;1;0;0
Parides_panares_subsp._tachira;1;0;0
Perichares_adela;0;1;0
Pharneuptychia_pharnabazos;1;0;1
Philaethria_dido;1;0;0
Phoebis_sennae;0;1;1
Prepona_laertes;0;0;1
Pyrgus_orcus;0;1;0
Pyrisitia_proterpia;0;1;0
Pyrisitia_venusta;1;1;1
Remella_vopiscus;0;1;0
Taygetis_thamyra;0;0;1
Tegosa_anieta;0;1;0
Theritas_mavors;1;0;0
Urbanus_proteus;1;1;0
Urbanus_teleus;1;1;0
Vehilius_stictomenes;0;0;1
Yphthimoides_renata;1;0;1
Zizula_cyna;0;0;1
