Cobertura;Ateuchus_sp._01;Ateuchus_sp._02;Ateuchus_sp._03;Ateuchus_sp._04;Canthidium_sp._01;Canthon_aff._cyanellus;Coprophanaeus_corythus;Deltochilum_gr._plebejum;Dichotomius_belus;Dichotomius_protectus;Digitonthophagus_gazella;Eurysternus_caribbaeus;Eurysternus_contractus;Eurysternus_mexicanus;Eurysternus_plebejus;Ontherus_kirschii;Onthophagus_clypeatus;Onthophagus_curvicornis;Onthophagus_transisthmius;Phanaeus_meleagris;Trichillidium_pilosum;Uroxys_sp._01;Uroxys_sp._02;Uroxys_sp._03
BQ;10;2;2;0;8;2;0;0;0;2;0;64;0;1;0;1;20;0;1;0;4;1;0;0
BQ;29;6;0;0;25;2;0;0;6;47;0;30;0;0;0;3;6;0;0;0;0;1;3;1
BQ;40;2;8;0;8;2;0;0;2;95;0;10;0;0;3;5;59;0;1;23;1;0;0;0
BQ;7;0;0;0;1;0;0;0;0;49;0;12;0;2;0;4;6;0;0;0;0;0;0;0
PA;0;0;0;1;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PA;1;0;0;0;0;0;5;0;25;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
PA;0;0;0;0;0;0;0;0;17;3;0;12;0;0;0;0;2;0;3;0;0;0;0;0
PA;1;0;0;0;2;0;0;0;7;0;3;0;0;4;0;1;23;0;13;0;0;0;0;0
SA;6;0;0;0;18;0;0;0;0;1;0;14;0;3;0;0;14;0;0;0;0;4;6;0
SA;3;0;0;0;0;0;0;0;4;0;0;16;0;2;0;1;108;0;0;0;1;0;0;0
SA;43;0;0;0;3;0;0;0;9;4;0;19;0;6;0;0;31;1;0;0;1;5;2;0
SA;90;43;0;0;0;1;0;2;6;29;0;20;0;3;5;4;68;0;0;1;0;0;0;0
SA;63;19;0;0;0;0;0;0;5;12;0;27;0;7;0;3;238;0;6;0;2;1;0;0
